Q,A,RAG
What popular TV show is parodied in “South Park: The Stick of Truth” video game?,Game of Thrones.,"
data/scripts/PC_Principal_Final_Justice.md Scene Description : The South Park Gun Show. The show's sign and trophy are shown onscreen.
data/scripts/The_Mexican_Staring_Frog_of_Southern_Sri_Lanka.md a magazine.] Great news, guys. Your TV show ratings have doubled! Jimbo : Wow! Cameraman : They've gone from six people to twelve. Jimbo : Holy smokes! We could get an Emmy! Scene Description : South Park Public Access. The set of Jesus and Pals. Producer : We've got to do it, J. Your ratings are
data/scripts/The_Tooth_Fairy_Tats_2000.md The South Park boys : Wow!
data/scripts/A_Very_Crappy_Christmas.md South Park, but at least our faith in each other remains strong. Assistant : [whispers into the anchor's ear] In South Park. News Anchor : Oh really? Scene Description : South Park, Cartman's house, day. The report is over Stan : Dude, change the channel. This is too depressing. [Cartman clicks the
data/scripts/You_Got_F'd_in_the_A.md then the SP side. The Blacks, Jimbo, Ned, Skeeter, and Mr. Garrison are in that audience. The South Park crew is then shown with Chef MC : Ladies and Gentlemen, Scene Description : The Marshes are shown, Randy with his portable oxygen tank and wheelchair. MC : man, you are all in for a treat!
data/scripts/It_Hits_the_Fan.md Scene Description : South Park, bar, night. The men are gathered there once again

Announcer : Get ready for ""Must Shit TV""! Starting now, four straight hours of pure shit! It's all live!
data/scripts/Weight_Gain_4000.md Park? Mr. Garrison : And the presentation will be on national television. Stan, Kyle : Television! Mr. Garrison : [Thinking to himself.] Kathie Lee Gifford. I don't believe it. Scene Description : City Hall. Mayor's Office. Mayor McDaniels : Kathie Lee Gifford in South Park! Oh my God! This is our
data/scripts/The_Mexican_Staring_Frog_of_Southern_Sri_Lanka.md Cameraman : They've gone from six people to twelve.

Jimbo : Holy smokes! We could get an Emmy!

Scene Description : South Park Public Access. The set of Jesus and Pals.

Producer : We've got to do it, J. Your ratings are being killed by the Jimbo and Ned Hunting Show.
data/scripts/The_Mexican_Staring_Frog_of_Southern_Sri_Lanka.md Scene Description : A television is on, and a new show seems to be on the air.

Announcer : And now back to Huntin' and Killin' with South Park's favorite hunters, Jimbo and Ned!
data/scripts/Do_the_Handicapped_Go_to_Hell?.md Scene Description : South Park, the church, day. Sunday school is in session, apparently at the church basement. A nun and eleven children sit around a table. Clockwise: the nun, a blonde girl, Clyde, Butters, Token, Kenny, Stan, Cartman, Pip, Bebe, Tweek, and a blond boy. A Twister game in on one"
Which Transformers character appears in an episode of South Park?,Optimus Prime.,"
data/scripts/Splatty_Tomato.md right onto Randy's face.] Aw! Scene Description : Ike plays a high pitched horn as he arrives back in South Park. Everyone comes out of the Community Center. He has Garrison tied up behind and gagged. Officer Bright : It's the President! [People begin to cheer] Sheila : Ike! Kyle! Sharon : Stan,
data/scripts/Smug_Alert!.md Scene Description : South Park News station, later. Stan looks over Keenan's shoulder as McFriendly, Cartman and Butters look on
data/scripts/Splatty_Tomato.md Scene Description : Ike plays a high pitched horn as he arrives back in South Park. Everyone comes out of the Community Center. He has Garrison tied up behind and gagged.

Officer Bright : It's the President! [People begin to cheer]

Sheila : Ike! Kyle!

Sharon : Stan, you're okay!
data/scripts/Fat_Camp.md It was a lady in a costume! Cartman : [miffed] Would somebody put this retard out of his misery?! Scene Description : South Park Elementary, day, playground. Stan and Pip stand by Kenny, who's groaning in pain and holding his stomach. Kyle : [walks up with Butters] What's the matter? Stan : Kenny's
data/scripts/The_End_of_Serialization_as_We_Know_It.md Kyle (voiceover) : A massive electrical pulse completely erased the internet.

Scene Description : South Park: Residential area. Broflovski residence. A taxi pulls up to the curb with Gerald inside.

Kyle (voiceover) : We've been given a second chance.
data/scripts/South_Park_is_Gay!.md Scene Description : South Park, school bus stop, morning. Stan, Cartman and Kenny wait for the bus. Stan is dressed in fishnet tank top, artsy pants, and a new, furry cap with the same colors as his old one. Cartman is dressed in a Madonna fashion shirt and artsy pants. His hair is tussled and
data/scripts/South_Park_is_Gay!.md Scene Description : South Park, school bus stop, morning. Stan, Cartman and Kenny wait for the bus. Stan is dressed in fishnet tank top, artsy pants, and a new, furry cap with the same colors as his old one. Cartman is dressed in a Madonna fashion shirt and artsy pants. His hair is tussled and
data/scripts/Chef's_Chocolate_Salty_Balls.md Director 4 : Ohuh no, wait, that's not him.

Scene Description : The audience groans.

Kyle : Ladies and gentlemen, my best friend, Mr. Hankey, is getting sick because South Park has become overcrowded with people who eat health food.
data/scripts/Chef's_Chocolate_Salty_Balls.md : The audience buzzes and cameras flash everywhere, Kyle shields his eyes. Kyle : Aaahh! Director 4 : Ohuh no, wait, that's not him. Scene Description : The audience groans. Kyle : Ladies and gentlemen, my best friend, Mr. Hankey, is getting sick because South Park has become overcrowded with
data/scripts/Terrance_and_Phillip:_Behind_the_Blow.md Stan : Come on, Kenny, hurry up!

Scene Description : South Park stage. Behind The Blow continues. A shot of Mr. Garrison and Phillip"
Which ’80s show does Cartman parody in an episode?,Knight Rider.,"
data/scripts/Fat_Camp.md Cartman. Stan : Did you like the old one? Kyle : Good point. Scene Description : Jesus and Pals Announcer : And now back to Jesus and Pals, on South Park Public Access. Jesus : [with the new Cartman] Back to our courageous story of a little boy's triumph over obesity. Eric, yea. You found that the
data/scripts/Helen_Keller!_The_Musical.md Cartman : [exults] They loved it! They LOVED it!

Timmy : Gobbles!

Scene Description : The South Park Community Theatre, stage, night. Mr. Garrison is onstage to introduce the last skit of the night
data/scripts/Chinpokomon.md Cartman : Oh, god damnit! [walks in and runs into Stan]

Stan : Hey, fatass.

Cartman : Hey, dickhole. I guess you saw the commercial, too.

Stan : Yep. I got Roostor, Lambtron, and Shoe.
data/scripts/Go_Fund_Yourself.md than having a catchy name. Stan : ...Nnnno, there isn't. [turns back to his computer and fleshes out the project] Scene Description : The neighborhood, day. Cartman runs down the sidewalk Cartman : You guys! You guys, it's awesome! Holy shit you guys! [runs up to Stan's door and enters the house.
data/scripts/Cartman_Sucks.md Cartman : [off screen] You guys! I got it! [runs in and joins them] It seriously! It's the greatest picture ever! Oh my God!

Stan : What'cha do to Butters this time?
data/scripts/The_New_Terrance_and_Phillip_Movie_Trailer.md Cartman's house] Scene Description : The neighborhood. The boys rush back to Stan's house. Stan : Hurry! The commercials will be on any minute! Butters : Aw! Oh man! Uh, uh uh uh... Cartman : [trailing the other three] Oh my god, eugh! Oh God! Oh, Jesus help me! [stops] Oh! I lost a doughnut!
data/scripts/Prehistoric_Ice_Man.md Scene Description : The boys appear on the sidewalk.

Stan : He doesn't look very happy in there.

Kyle : No, he sure doesn't.

Stan : I wasn't talking to you, buttpipe! I was talking to Cartman!

Kyle : Well, I was talking to Cartman, too!
data/scripts/Go_Fund_Yourself.md Scene Description : The neighborhood, day. Cartman runs down the sidewalk

Cartman : You guys! You guys, it's awesome! Holy shit you guys! [runs up to Stan's door and enters the house. He runs into Stan's room] You guys, I've got it!

Stan : What?
data/scripts/Chef's_Chocolate_Salty_Balls.md Cartman : It had a bunch of gay cowboys eating pudding, huh?

Stan : Yeah, pretty much.

Cartman : Yeah!

Stan : The theater sucks, though. They need to get a bigger screen.

Kyle : Maybe they should project the movies on Cartman's ass.

Scene Description : Stan and Kenny laugh.

Cartman : Ay!
data/scripts/Summer_Sucks.md : The kind that fit in Cartman's cat's ass. Cartman : Okay, that's it! Scene Description : Kenny laughs. Cartman : Screw you guys! I'm going home. Scene Description : Cartman walks off. Kyle : What a baby. Stan : So, we'll have ten M-80s, please. Stu : I'm sorry, fellas. Haven't you heard? Stan :"
Which pop star does the character of Stan Marsh parody?,Justin Bieber.,"
data/scripts/Bass_to_Mouth.md Stan : What?

Craig : ""In an email sent yesterday to KENNY McCormick, Stan Marsh wrote 'Dude, you should have been in PE today. Elise Thompson's butt crack was totally showing.' He went on to call her butt crack quote 'nice' and that the whole experience was quote 'pretty awesome'.""
data/scripts/Smug_Alert!.md Stan : What is that?

Keenan : It's the smug from George Clooney's acceptance speech at the Academy Awards.

Stan : George Clooney's acceptance speech?
data/scripts/Bass_to_Mouth.md Kyle : It wouldn't be funny if that Web site posted something about you!

Stan : I wouldn't care.

Craig : Exclusive: Stan Marsh thinks Elise Thompson has a hot butt crack.

Stan : What?
data/scripts/ManBearPig.md Stan : Who?
data/scripts/Bloody_Mary.md Stan's dad and say, ""Is that who I want to be in thirty years? Getting tickets and having to go to elementary school classrooms and talk about how pathetic I am?"" Thank you Mr. Marsh, I think you made your point. [Randy turns away and walks out of the class]
data/scripts/You_Got_F'd_in_the_A.md Stan : Dude, he's incredible.
data/scripts/Holiday_Special.md for images of Randy Marsh. Mr. Galtman : I most certainly will not! Masked voice : Randy Marsh is a hypocrite and a fake. You will be taken down with him when he is exposed! [a shot of the boys' restroom at school. Kenny is the one who's masking his voice as Stan, Kyle, and Cartman look on] Kyle :
data/scripts/A_Scause_For_Applause.md a slap in the face to everyone! Charlie Rose : What do you say about that, Stan? Stan : ...I don't know. [checks his wristband again] I like it. Charlie Rose : All right, well we searched high and low to find my next guest who actually agrees with Stan Marsh, and thinks he's doing the right thing.
data/scripts/Stanley's_Cup.md and closes the door. Behind the door is the judge, waiting. He has his record player with him. He starts playing it...] Judge : Stan Marsh has always lived a carefree life. But in the blink of an eye, what seemed important before can all be put in perspective. Stan Marsh is... ""Bummin' on Cancer.""
data/scripts/Asspen.md Heather : You aren't mad, are you, Stan? I mean, a girl's gotta look out for her best interests.

Stan : [just looks at them] ...who are you people?!

Tad : Still don't wanna race me? I told you he was chicken, Heather. Stan Marsh the Darsh! [laughs disdainfully]"
What is the title of the South Park movie released in 1999?,"South Park: Bigger, Longer & Uncut.","
data/scripts/Red_Man's_Greed.md Scene Description : South Park, next day. The deadline has arrived.
data/scripts/Helen_Keller!_The_Musical.md Scene Description : South Park, Timmy's house. Timmy is in bed asleep. Soon, Gobbles hops up on the bed and drops his head on the covers. He slowly inches up to Timmy's face, looking at Timmy all the while, and settles in next to him. Gobbles soon falls asleep. Timmy's left hand comes to rest on
data/scripts/Night_of_the_Living_Homeless.md Scene Description : South Park, morning. Kyle climbs onto his toy box and looks out the window again. More homeless people have arrived and are camped out in front of the house.

Kyle : Oh crap. [the doorbell rings and Kyle comes down to answer it. Stan, Kenny, and Cartman enter]
data/scripts/Chickenlover.md gets the note. Anchor : This just in! South Park is plunged into total anarchy! Scene Description : A camera pans across the rioting. Anchor : Exactly two seconds after the retirement of Officer Barbrady, looting and pillaging erupted in the quiet mountain town! Scene Description : A man comes and
data/scripts/The_Return_of_Chef.md Scene Description : ""Previously on South Park"" Daytime. Kyle, Cartman, and Kenny are playing with their toy trucks and cars under a tree in the neighborhood park. The basketball court, slide, and grass are cleared of snow. Stan runs up to them'
data/scripts/Chef's_Chocolate_Salty_Balls.md : The audience buzzes and cameras flash everywhere, Kyle shields his eyes. Kyle : Aaahh! Director 4 : Ohuh no, wait, that's not him. Scene Description : The audience groans. Kyle : Ladies and gentlemen, my best friend, Mr. Hankey, is getting sick because South Park has become overcrowded with
data/scripts/The_Problem_with_a_Poo.md Scene Description : Downtown South Park. Kyle walks down the street battered from the beatdown Mr. Hankey gave him

Girl : Mommy, something stinks. [they stop to look at Kyle]

Mother : Yeah, like shit. [takes her daughter's hand and moves on. A shopkeeper shuts his door as Kyle walks by]
data/scripts/Cartoon_Wars_Part_I.md Scene Description : South Park, next day. The sand has been brought in and is now being spread out, Mr and Mrs Tucker walk by with their son Craig; Mr Tucker holds a shovel
data/scripts/The_Wacky_Molestation_Adventure.md Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde

Stan : What's going on?
data/scripts/Asspen.md tony stores. The scene freezes, and the new title comes up: ""South Park in Aspen"", then the scene continues. The adults are in happy awe as a woman walks by with her two poodles in front of a jewelry store. The next shot is of the four boys looking out marveling at the sights. They pass a man"
Who does Saddam Hussein have a relationship with in the South Park movie?,Satan.,"
data/scripts/Chef's_Chocolate_Salty_Balls.md Director 4 : Ohuh no, wait, that's not him.

Scene Description : The audience groans.

Kyle : Ladies and gentlemen, my best friend, Mr. Hankey, is getting sick because South Park has become overcrowded with people who eat health food.
data/scripts/200.md aides sitting on chairs beside him. Randy : Okay, people, I know, I know. But he will get the other celebrities to withdraw their lawsuit if we just... get Muhammad to appear in South Park. Mr. Garrison : Are you nuts? If Muhammad appears in South Park, we get bombed! [audience shouts in agreement]
data/scripts/Chef_Goes_Nanners.md Scene Description : South Park, the offices of Brovlofski and Jackson, Attorneys At Law. Kyle and Stan have assembled their team there. Kenny, Craig and Tweek are there with two others.
data/scripts/The_Wacky_Molestation_Adventure.md other two follow, leaving Ike alone on the sofa.] Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde Stan : What's going on? Cartman : Notice anything?
data/scripts/Chef_Goes_Nanners.md Wendih. Seriouslih. [she chuckles] The Bog Monster speaketh. Scene Description : South Park, the offices of Brovlofski and Jackson, Attorneys At Law. Kyle and Stan have assembled their team there. Kenny, Craig and Tweek are there with two others. Kyle : Okay. since my dad's a lawyer, he says we can
data/scripts/200.md Randy : Okay, people, I know, I know. But he will get the other celebrities to withdraw their lawsuit if we just... get Muhammad to appear in South Park.

Mr. Garrison : Are you nuts? If Muhammad appears in South Park, we get bombed! [audience shouts in agreement]
data/scripts/The_Wacky_Molestation_Adventure.md Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde

Stan : What's going on?
data/scripts/The_End_of_Serialization_as_We_Know_It.md and Richard Alder, are stepping outside, looking around, talking to each other, shaking hands and giving each other hugs. Kyle (voiceover) : A massive electrical pulse completely erased the internet. Scene Description : South Park: Residential area. Broflovski residence. A taxi pulls up to the curb
data/scripts/The_City_Part_of_Town.md in bed. He's crying quietly] ""I live in South Park and my IQ's so low I've got's ta dig for it. Hey, did someone say 'rape?' That's the word for 'clever' here in South Park"" [the camera is back on Randy and Sharon]
data/scripts/Fun_with_Veal.md shows his right middle finger to the camera. Next, the boys' parents are shown] Randy : We gave those kids everything, and they turned into little... John Walkers! Field reporter : The police chief of South Park says that there will be no negotiations with terrorists. Butters : Oh no. Eh this is"
"In the South Park movie, who sings the song “Blame Canada”?",The boys and the town.,"
data/scripts/Mexican_Joker.md Scene Description : The South Park theme song is replaced by one for the new series, Tegridy Farms, starring Randy Marsh: Goin' down to Tegridy Farms, gonna have myself a time. Friendly faces everywhere, humble folks without temptation, Goin' down to Tegridy Farms, gonna leave my woes behind.
data/scripts/Mexican_Joker.md Scene Description : The South Park theme song is replaced by one for the new series, Tegridy Farms, starring Randy Marsh: Goin' down to Tegridy Farms, gonna have myself a time. Friendly faces everywhere, humble folks without temptation, Goin' down to Tegridy Farms, gonna leave my woes behind.
data/scripts/Titties_and_Dragons.md Scene Description : Previously on South Park. Some clips of the previous episodes are shown as a summary. A clip featuring the Canadian Minister of Health is included just for kicks. The intro follows, with the Wiener song from last episode playing. Then follows the Princess Kenny Japanese
data/scripts/Titties_and_Dragons.md Scene Description : Previously on South Park. Some clips of the previous episodes are shown as a summary. A clip featuring the Canadian Minister of Health is included just for kicks. The intro follows, with the Wiener song from last episode playing. Then follows the Princess Kenny Japanese
data/scripts/Scott_Tenorman_Must_Die.md Scene Description : Morning in South Park. Cartman is riding his Big Wheels down the road, singing to himself. He soon reaches the bus stop. Stan, Kyle, and Kenny are standing there
data/scripts/Cow_Days.md Scene Description : The theme music plays before they cut to commercial.

Mary : Ah shit!

Scene Description : South Park rodeo. A rider falls from his horse as it jumps some barrels, nearby on the carnival stage, Mayor McDaniels and her aides are standing.
data/scripts/Fourth_Grade.md Scene Description : South Park, a street. A SWAT truck full of rescuers passes Timmy and the brunette and slows down to wheelchair speed. Kenny is with them

Hansen : It's alright, everything's goin' tuh be fine.

Brunette : Oh my God!
data/scripts/The_Wacky_Molestation_Adventure.md Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde

Stan : What's going on?
data/scripts/Canada_on_Strike.md Scene Description : A snowy night in South Park, a shot of Kyle's room through his window. Kyle heads to the front end of his room to look out the window. Out on the sidewalk stands Ike with his own strike sign: ""HONK if you support CANADA"" Cars pass by without stopping. Kyle suffers for him. A car
data/scripts/The_City_Part_of_Town.md Scene Description : South Park, day. Kenny walks down a sidewalk and notices a sign asking for help - child help. He takes it from the window and enter City Wok with it"
Which character dies at the beginning of the South Park movie?,Kenny McCormick.,"
data/scripts/Chef's_Chocolate_Salty_Balls.md Director 4 : Ohuh no, wait, that's not him.

Scene Description : The audience groans.

Kyle : Ladies and gentlemen, my best friend, Mr. Hankey, is getting sick because South Park has become overcrowded with people who eat health food.
data/scripts/Death.md : Ahhh! Scene Description : South Park Main Street. Death turns and touches Kenny, and Kenny falls over, dead. Kyle : Oh my God, they killed Kenny. You Bastard!!! Stan : Wow, I guess Death was just coming after Kenny the whole time. Grandpa : Hey, you were supposed to kill me! Death : Mrrr. Grandpa
data/scripts/The_Wacky_Molestation_Adventure.md Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde

Stan : What's going on?
data/scripts/A_Very_Crappy_Christmas.md okay. We'll just have his character die in the film. [they resume singing and walk away] Scene Description : Stan's house, living room, day. Stan and Kyle are there. A large box has come for Stan and he's about to open it Stan, Kyle : nan Scene Description : South Park Drive-In, night. The drive-in
data/scripts/Chef's_Chocolate_Salty_Balls.md : The audience buzzes and cameras flash everywhere, Kyle shields his eyes. Kyle : Aaahh! Director 4 : Ohuh no, wait, that's not him. Scene Description : The audience groans. Kyle : Ladies and gentlemen, my best friend, Mr. Hankey, is getting sick because South Park has become overcrowded with
data/scripts/Something_Wall-Mart_This_Way_Comes.md Scene Description : South Park, day. A lovely tree appears and the camera pans down to street level. Stan and friends are on the sidewalk across the street moving along.

Cartman : You guys know what? Um, the last thing you do when you die, is crap your pants.

Stan : ...What?
data/scripts/The_Wacky_Molestation_Adventure.md other two follow, leaving Ike alone on the sofa.] Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde Stan : What's going on? Cartman : Notice anything?
data/scripts/Night_of_the_Living_Homeless.md Back inside, he's still alive. The bullet to the brain didn't kill him. This time he shoots at his heart twice, and that finally kills him. He writhes around for a few seconds and dies.] Scene Description : The South Park Community Center. There are so many homeless people now that it looks like a
data/scripts/Something_Wall-Mart_This_Way_Comes.md Scene Description : South Park, day. A lovely tree appears and the camera pans down to street level. Stan and friends are on the sidewalk across the street moving along. Cartman : You guys know what? Um, the last thing you do when you die, is crap your pants. Stan : ...What? Cartman : Yeah, when you
data/scripts/Death.md Scene Description : Kenny pushes Cartman out the window and follows.

Death : Mrrrr!

Scene Description : South Park Main Street.

Kids : Aaaah! Aaaah! Aaaah!

Scene Description : Death is following the kids on a tricycle. Grandpa tries to keep up on his electric wheelchair."
What country does the South Park movie’s plot revolve around?,Canada.,"
data/scripts/The_Wacky_Molestation_Adventure.md Scene Description : Downtown South Park. The sky is a deep blue and the streets are clear of snow. Token, Butters and Kenny stand behind Filmore and his friend. Cartman, Stan, Kyle, Ike, and Clyde

Stan : What's going on?
data/scripts/Margaritaville.md Scene Description : South Park, sometime later. Everyone is wearing blankets instead of clothes, in the forms of togas and cloaks. People have begun to ride llamas, carry stuff in wooden boxes, and leave bales of hay around for the llamas and oxen. Businesses all along the street have shuttered
data/scripts/The_Snuke.md Scene Description : South Park, at Long Road Shipping, the apparent hideout. Everyone stands in the street.

Mr. Thompson : [walking into view] Well, looks like we saved our country from British rule once again.
data/scripts/Pip.md Scene Description : The South Park Classics study. The British Person resumes narrating
data/scripts/Chickenlover.md gets the note. Anchor : This just in! South Park is plunged into total anarchy! Scene Description : A camera pans across the rioting. Anchor : Exactly two seconds after the retirement of Officer Barbrady, looting and pillaging erupted in the quiet mountain town! Scene Description : A man comes and
data/scripts/Here_Comes_the_Neighborhood.md Scene Description : The rich enclave, later. The men of South Park have succeeded in chasing the rich folks out of town, and they gather in front of a mansion. They take off their sheets

Skeeter : That was it. We just saw the last of them speeding away in a van!

Men : Alright!
data/scripts/I'm_a_Little_Bit_Country.md Scene Description : South Park, town square. The townsfolk are still attacking each other and killing more of their number. One man kills another with a ""PEACE NOW"" sign. A war supporter runs a flag pole through a protester, then pulls it back out again. Stan, Kyle, and Kenny watch from the other
data/scripts/Pip.md Scene Description : The South Park Classics study. The British Person finishes narrating
data/scripts/Margaritaville.md [stretches out his arms as the audience cheers him on.] Scene Description : South Park, sometime later. Everyone is wearing blankets instead of clothes, in the forms of togas and cloaks. People have begun to ride llamas, carry stuff in wooden boxes, and leave bales of hay around for the llamas and
data/scripts/Red_Man's_Greed.md Scene Description : South Park, next day. The deadline has arrived."
What is Cartman’s secret wish in the episode “The Pandemic Special”?,To have his own theme park.,"
data/scripts/Tonsil_Trouble.md isn't funny, [points at Cartman a third time with his eyes closed.] So shut the fuck up!! Cartman : [clears his throat] Well excuse me, Kyle, for trying to keep some optimism, you know? I mean, sometimes when things... seem their darkest you just need to try and stay... HIV-positive, but if you
data/scripts/Cartman_Joins_NAMBLA.md Cartman : Well, look. Those perverts aren't going to rest until they've made love to one of us. Right? So,... somebody's just gonna have to go out there and... take one for the team. [the other boys are shocked at the thought] And I think, in all fairness, it should be Butters. [presents him]
data/scripts/Fatbeard.md Cartman : That we be, lass. It's all paid for on me mudder's credit card.

Butters : [has second thoughts and turns around] Oh jeez. Unh I don't know if I can really go through with this.

Cartman : What?!
data/scripts/Tonsil_Trouble.md Cartman : We're not just sure, we're HIV-positive.

Kyle : [quickly irritated; exploding] Will you stop it with that!?! [angrily points at Cartman] What part of this is funny to you?!!

Cartman : Kyle, we need to try to find a-
data/scripts/Scott_Tenorman_Must_Die.md Cartman : [evilly, to himself] Heheheheheh. He's such a douche, heheheheheh. [turns around and returns to the house. Scott returns]

Scott : Here you go.

Cartman : Oh, wow, thanks a lot, Scott! [Scott withholds the money]

Scott : But... just one thing before I give it to you:

Cartman : What?
data/scripts/Something_You_Can_Do_with_Your_Finger.md Cartman : I just don't know what I'm gonna do. [lets himself in] Sometimes I wonder if God isn't toying with me. [goes to the sofa and pulls out some Cheesy Poofs to eat]

Chef : [sits next to Cartman] Alright, Eric, what's the matter?
data/scripts/Fat_Camp.md to expose the aroma and tempts him] Look at how yummy and sweet he is. [Chad, still sobbing, takes the candy bar and starts eating. Cartman bides his time] ...There you go. That'll just be four dollars. [Chad hands him the money and finishes the candy bar. Cartman just watches] ...There you go.
data/scripts/Pre-School.md Cartman : [now yelling] How the hell are condoms gonna help us?! [the adults in the recovery room look at Cartman] Sorry, heh. Never mind, hehe. [the adults turn their attention back to Butters]
data/scripts/Toilet_Paper.md away, and the other boys huddle around him] You guys, we can't let him do this! Cartman : What are you talking about? This is a gift from God. An early Easter present all wrapped up in a pretty ribbon from Jesus Christ himself! Butters : Well I'm just a little asshole, is what I am. When God made
data/scripts/Asspen.md Cartman : [knowingly] Nothing, Butters. Right, guys?!

Scene Description : The front door.

Phil : Well, we can't wait to show you what Aspen Time-Share is offering investors. Shall we do our thirty-minute meeting?

Randy : Oh, do we have to do it right now?"
What is Kyle’s mother’s name?,Sheila Broflovski.,"
data/scripts/South_ParQ_Vaccination_Special.md Kyle : Dad, please don't-
data/scripts/South_ParQ_Vaccination_Special.md Kyle : What?
data/scripts/A_Song_of_Ass_and_Fire.md Kyle : What?
data/scripts/Ginger_Cow.md Kyle : About what?!
data/scripts/Bass_to_Mouth.md Kyle : What the hell happened?!
data/scripts/Mystery_of_the_Urinal_Deuce.md Kyle : Me??!
data/scripts/Insecurity.md Kyle : Wait a minute, Dad was the UPS man?
data/scripts/Erection_Day.md Kyle : Huh wuh, what's the matter?
data/scripts/The_Entity.md Kyle Two : [the boys are stunned] ...What?

Kyle : Yeah, I've gotta get back to Connecticut.

Sheila : Now that things have changed for Kyle, his mother needs him back.
data/scripts/The_Return_of_Chef.md Kyle : ...Dude!"
Which character does Butters often have a crush on?,Wendy Testaburger.,"
data/scripts/Go_God_Go.md Butters : Yes! Now the world shall feel the wrath of Professor Chaos! Hahaha!

Linda : Butters? [she appears at the sliding door entrance with two policemen behind her] Butters, you haven't seen Eric Cartman in the past few days, have you?

Butters : [a bit afraid, slowly] Who, me?
data/scripts/The_Death_of_Eric_Cartman.md Butters : Eric, ye-you're just an image in my head brought on by a traumatic event.

Cartman : She's gonna close soon! Come on! [pulls Butters out of bed and away]

Butters : Wuh I hate my stupid psychotic brain!
data/scripts/The_Simpsons_Already_Did_It.md shadow. Dougie : Oh, awesome! Butters : Soon, all people will have to live like moles! They will love only to remember with sorrow how great the sun used to be! [laughs with evil glee] Dougie : Cool. It'll be just like on the Simpsons. [Butters stops laughing and freezes in place] Butters : [tilts
data/scripts/Franchise_Prequel.md Butters : You mean like Suicide Squad?

Stan : Yes!

Butters : [in Stan's face] Suicide Squad sucked! [turns around and walks off again]

Kyle : Butters! Butters! You can't just make stuff up about us! [Butters turns around again] People are thinking it's true!
data/scripts/City_Sushi.md Linda : What?

Dr. Janus : There are several distinct personalities going on in there. One is named ""Postman Butters"" and yet another is ""Fireman Butters."" And then there's even ""Inspector Butters"" and uh, ""Professor Chaos"".

Linda : Oh my God!
data/scripts/AWESOM-O.md Butters : I like to dip and daddle with my robot friend.

Scene Description : Butters jumps in a puddle, then has AWESOM-O do the same. Butters giggles.

Butters : He's smart as can be and emotion-free
data/scripts/Casa_Bonita.md Butters : What's this all about, Eric?

Cartman : [leads him to a telescope, then turns] Butters, can you keep a secret?

Butters : Well, sure I can!
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Stephen : Butters?

Linda : Butters? [they notice the television] Butters!

Butters : [peeks out from behind the sofa, in the shadow, then speaks in a raspy voice] The precious? [his parents turn to see him] Could you bring back my precious?
data/scripts/The_Tale_of_Scrotie_McBoogerballs.md Butters : Just enjoying myself. Why, Eric?

Kyle : Butters, you know goddamned well you didn't write that book!

Butters : But, you told me I did!

Stan : Yeah, but that was when we thought we were gonna get in trouble, asshole! [two girls rush up to Butters' aid]
data/scripts/AWESOM-O.md walks off. Kyle and Kenny follow. Butters : I like to dip and daddle with my robot friend. Scene Description : Butters jumps in a puddle, then has AWESOM-O do the same. Butters giggles. Butters : He's smart as can be and emotion-free Scene Description : Butters washes dishes while AWESOM-O dries"
